sample_id,cab_gate,mix_gate,cab_mean_l1_from_uniform,cab_mean_max_abs_from_uniform,cab_mean_kl_from_uniform,cab_mean_one_minus_entropy,mix_l1_from_uniform,mix_max_abs_from_uniform,mix_kl_from_uniform,mix_one_minus_entropy,cab_head_best_idx,cab_head_best_score
67,0.5239022374153137,1.0,0.03156052529811859,0.009823799133300781,0.0005169943358119529,0.0003729474833830404,0.00643673911690712,0.0022164881229400635,2.1910317881025578e-05,1.582357992710448e-05,2,0.021808122506274563
68,0.5239022374153137,1.0,0.030725203454494476,0.010942190885543823,0.0004960980291786085,0.00035786653382594014,0.005787204951047897,0.0023683160543441772,2.0176183760401323e-05,1.4535413676103337e-05,2,0.02469117954289754
69,0.5239022374153137,1.0,0.03194485604763031,0.009837895631790161,0.0005274559170984803,0.0003804790179427475,0.006210789084434509,0.0020848214626312256,2.0572982059378106e-05,1.4840269596666511e-05,2,0.022085154040032785
70,0.5239022374153137,1.0,0.030545353889465332,0.009408831596374512,0.00048274880811546026,0.0003482296557316411,0.005877453833818436,0.0019156336784362793,1.791600097442083e-05,1.2927388169436949e-05,2,0.02079643357650994
71,0.5239022374153137,1.0,0.030464623123407364,0.009877607226371765,0.0004853108436733496,0.00035009640018010546,0.006627220660448074,0.0021581947803497314,2.2583206713968165e-05,1.6323867779527435e-05,2,0.02118392864844299
72,0.5239022374153137,1.0,0.02969900146126747,0.009564071893692017,0.00046134161049523497,0.00033277645093768293,0.005971796810626984,0.0018474459648132324,1.8236886411878827e-05,1.3132781052055398e-05,2,0.020976472493333467
73,0.5239022374153137,1.0,0.027642473578453064,0.008893579244613647,0.00040376236951026397,0.0002912678852562689,0.005903143435716629,0.001849144697189331,1.817265251266692e-05,1.311252312025113e-05,2,0.01972073191889051
74,0.5239022374153137,1.0,0.02680802345275879,0.008604675531387329,0.00037934311204425894,0.0002736382132708659,0.005087055265903473,0.0018027126789093018,1.3738698190666234e-05,9.90292529340353e-06,2,0.019238300019393598
75,0.5239022374153137,1.0,0.02460252121090889,0.007805466651916504,0.0003186363130221737,0.00022985123961241638,0.004635658115148544,0.0017893314361572266,1.204786426017016e-05,8.701872881711203e-06,2,0.017488990192112835
76,0.5239022374153137,1.0,0.02034023031592369,0.006779849529266357,0.0002205313352040514,0.00015907600653944365,0.00424402579665184,0.002053499221801758,1.3816822904187173e-05,9.963005651980605e-06,2,0.014552197328731448
